Well,Platform,Sand Risk,"WHFP
(bars)",Date of last survey,Last sand level,Marker,Sand control,"ClampOn
Survey
Frequency",Delay survey (days),Next Survey Date,Velocity,SandProbe installation date,Choke Type,T-shape Installation,"EMS
(Erosion Monitoring system)",Gas Detector,"Change
choke
request",WELL STATUS,"Top Perfo Depth
(mSS)",Current Qgas (MMscfd),"DP Ratio (WHFP/ Flow Line Pressure), Barg",Max. Del. Pot. (MMscfd)
TN-C446,GTSC,Critical,93,31-Dec-23,Sand Free,SU1,NO,1 week,0,7-Jan-24,1.17,11-Sep-13,Vonk Non DV,YES, , ,,Emulsion well. Last visit on 02/01/2024. Qgas from TBRG. Autochoke can't be operated automatically or manually. PG ann#A broken. Kenco CI removed by PRD/MNT. Flow to TMP-1.,2339,1.2,7,2.6
TN-F30,GTSF,Critical,12,29-Dec-23,Sand Free,SU1,NO,2 weeks,0,12-Jan-24,0,17-Sep-16,Vonk,YES, , ,,Well visited (24/12/2023). Qgas no reference.,2211,0,1,0
TN-Fx129,GTSFx,Critical,70,itu psi,Sand Free,SU1,NO,1 week,0,9-Jan-24,0.15,24-Apr-17,Cameron Fixed,, , ,,POP after riser pipe coating repair. Parameter unstable yet. Well visited (3/01/2024). Qgas from TBRG (09/12/23) . SkoFlo not complete.  BV to test header passing,2555,0.2,6,4.2
TN-Gx158,GTSGx,Critical,52,27-Dec-23,Sand Free,SU1,HESS Screen,1 week,0,24-Jan-24,0.98,27-May-13,Cameron Plug & Cage CC40,, , ,,Last visited on 4/1/2024. Auto choke stuck open. Nuflo not accurate. Qgas from FT GTS.,1575,0.9,5,0
TN-S245,GTSS,Critical,82,5-Jan-24,Sand Free,Shallow,SCON SandTrap AB,1 week,0,12-Jan-24,,,,YES,,,,Last visited on 31/12/2023. Qgas from Nuflo.,1582,1.1,7,
TN-S247,GTSS,Critical,30,5-Jan-24,Sand Free,Shallow,HESS Screen 250 micron,1 week,0,12-Jan-24,,,,YES,,,,Last visited on 31/12/2023. Barton chart not installed. Qgas from Nuflo (Temprature NuFlo not accurate).,1694,0.5,3,
TN-S182,GTSS,Critical,28,31-Dec-23,Sand Free,Shallow,PO Screen - HESS,1 week,0,7-Jan-24,,19-Feb-19,Masterflo P3,YES,,,,Last visited on 31/12/2023. Qgas from Nuflo. ESDV Transit at GTS Indication broken. Stop CI due to leaking at pump & CI empty.,412,0.4,2,
TN-S189,GTSS,Critical,27,31-Dec-23,Sand Free,Shallow,HESS Screen,1 week,0,7-Jan-24,,18-Aug-19,Masterflo P3,YES,,,,"Last visited on 31/12/2023. Qgas from Nuflo (Nuflo no display). Annulus B line. Put in service. Ann #B pressure is 3 BarG and PSV setting is 12 BarG.  (Ann#A MAWOP = 39 BarG), (Ann#B MAWOP = 15 BarG).",737,0.9,2,
TN-S190,GTSS,Critical,21,31-Dec-23,Sand Free,Shallow,SCON,2 weeks,0,14-Jan-24,,18-Aug-19,Masterflo P3,YES,,,,"Last visited on 31/12/2023. Qgas no refrence (Nuflo no display). Parameter not stable yet, please update paramater D+1.",1217,0,2,
TN-S214,GTSS,Critical,20,4-Jan-24,Sand Free,Shallow,HESS Screen,2 weeks,0,18-Jan-24,,17-Dec-19,Masterflo P3,,,,,Last visited on 30/12/2023. Nuflo OK. ESDV Transit at GTS Indication broken.,784,0.5,2,
TN-F351,GTSF,Critical,64,5-Jan-24,Sand Free,Shallow,SCON SandTrap AB ,1 week,0,12-Jan-24,,,,YES,,,,"Well visited (04/01/2024). Qgas from NuFlo. PSV Annulus#A put on services, set point at 15.5 Barg.",,1.9,5,
TN-F352,GTSF,Critical,76,5-Jan-24,Sand Free,Shallow,SCON SandTrap AB ,1 week,0,12-Jan-24,,,,YES,,,,"Well visited (04/01/2024). Qgas from NuFlo. PSV Annulus#A put on services, set point at 15.5 Barg.",,2,5,
TN-F354,GTSF,Critical,82,5-Jan-24,Sand Free,Shallow,SCON SacTi,1 week,0,12-Jan-24,,,,YES,,,,"Well visited (04/01/2024). Qgas from NuFlo. PSV Annulus#A put on services, set point at 14 BarG.",1215,2,6,
TN-S30,GTSS,Critical,13,4-Jan-24,Sand Free,SU1,NO,2 weeks,0,18-Jan-24,,1-Aug-12,Cameron Fixed,YES, , ,,Last visited on 3/1/2024.,2627,0,1,3.7
TN-T94,GTST,Critical,19,2-Jan-24,Sand Free,Shallow,Ceramic Pack-off,1 week,0,9-Jan-24,,8-Jul-18,Masterflo P3,,,,,,1181,0,,
TN-X34,GTSX,Critical,50,4-Jan-24,Sand Free,Shallow,SCON SandTrap AB,1 week,0,11-Jan-24,,19-Dec-19,Masterflo P3,,,,,,1174,0,,
TN-A167,GTSA,Critical,41,30-Dec-23,Sand Free,Shallow,SCON,1 week,0,6-Jan-24,,,Masterflo P3,YES,,,,Well visited (10/12/2023). Barton Chart Missing. Nuflo OK. Flow to TMP-1.,998,0.9,3,
TN-A171,GTSA,Critical,36,30-Dec-23,Sand Free,Shallow,SCON SandTrap AB,1 week,0,6-Jan-24,,12-May-20,Masterflo P3,YES,,,,Well visited (23/12/2023). UMV hydraulic pump broken (Jumper from DHSV pump). Qgas from Nuflo. Flow to TMP-2.,1575,0.7,3,
TN-F311,GTSF,Critical,55,30-Dec-23,Sand Free,Shallow,SCON Sandtrap,1 week,0,6-Jan-24,,,,YES,,,,Well visited (04/01/2024). Qgas from NuFlo. Choke Indicator Potentially Drifting.  Bleed off line of annulus dedicated for each well to oil boom. #Ann A status open put on service. Set point PSV 15.5 Barg (MAWOP 16 BarG).  Stop CI Pump due to Empty.,1282,1.1,4,
TN-F331,GTSF,Critical,85,30-Dec-23,Sand Free,,SCON SacTi,1 week,0,6-Jan-24,,,,YES,,,,"Well visited (04/01/2024). Barton Chart missing. SDV incoming passing, close SDV transit at adjecent in case depressurize GTS manifold.",1853,2.3,7,
TN-G59,GTSG,Critical,33,30-Dec-23,Sand Free,Intrabeta,NO,1 week,0,6-Jan-24,1.39,11-Apr-13,Cameron Fixed,YES, , ,,"Last visited on 3/1/2023.Qgas data from test barge. DHSV, UMV, SSV Wing suspected passing. Found CI pump broken. CI finding card excel.",2499,1.3,3,0
TN-S177,GTSS,Critical,24,30-Dec-23,Sand Free,Shallow,HESS Screen,1 week,0,6-Jan-24,,28-Jan-18,Vonk Non DV,YES,,,,Last visited on 31/12/2023. Qgas from TBRG (NuFlo not accurate). Stop CI due to empty,996,1.6,2,
TN-A34,GTSA,Critical,4.1,,,SU1,SCON,1 week,,Not yet survey,0,20-Dec-10,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (24/07/2023). CI package taken for TN-A28. DBB at instrument flange removed for new well (Leak test only 10 B). WellHead Barton Chart removed to TN-A160/A453. ESDV outgoing removed for new well.   Flow to TMP-1.,2726,0,,0
TN-A51,GTSA,Critical,62,,,SU1,SCON,1 week,,Not yet survey,0,20-Dec-10,Vonk DV,YES, ,YES,SI,Plug AC_Plugging well. Well visited (18/11/2023). NuFlo N/A. Leak at breather plug SSV wing actuator. DHSV & UMV pump N/A & Instrumentation not complete . Flow to TMP-1.,2462,0,,0
TN-A92,GTSA,Critical,12,,,Shallow,SCON,1 week,,Not yet survey,0,23-Jun-10,Vonk,YES,YES,NO,SI,"SIBU_due to no flow. Well visited (13/01/2023). WH Internal orifice vonk choke not installed. ESDV outgoing 8""#2500 Removed and install blind for cannibalization. Flow to TMP-1. Nuflo campaign : Nuflo N/A.",1248,0,,0
TN-AA184,GTSAA,Critical,0,,,Shallow,Geoform,1 week,,Not yet survey,0,8-May-15,Vonk,YES,,,SI,"SIBU_due to no flow. Visited 28/03/2023. PG ann A n/a. Some Instrumentation and hyd pump inside WHCP & Chart are missing. Panel not active. Remove DBB, DBC & Thermowell and not leak test yet. Barton chart was missing.",779,0,,0
TN-AA53,GTSAA,Critical,0,,,Shallow,SCON,1 week,,Not yet survey,0,12-Oct-10,Cameron Fixed,YES, ,YES,SI,"SIBU_due to no flow. Modify Logic PSLL-39D02 (Flowline TN-AA53), Logic no longer connect to Jumper line. Visited 29/12/2023. DHSV replaced with plug. Flowline installed Blind, No skoflo. PSHH and PSLL d/s Autochoke and PSLL 39AF09 (PSLL Jumper line on slo",1143,0,,0
TN-F333 ,GTSF,Critical,,,,,HESS Screen 175 micron,1 week,,Not yet survey,,,,YES,,,SI,,,0,,
TN-Ax47,GTSAx,Critical,176,,,SU1,NO,1 week,,Not yet survey,0,2-Apr-12,Cameron Fixed,YES, , ,SI,SIBU_due to no flow. Well visited (24/04/2023). Remove Auto choke for LRG-1 and install blind at both side. UE indication for SSV Wing removed for Ax-61. DBC & Thermowell at wellhead has been remove for cannibalization. (no bean choke inside).  Leak test,2813,0,,0
TN-B11,GTSB,Critical,12,,,SU1,NO,1 week,,Not yet survey,0,30-Aug-12,Vonk,YES, , ,SI,SIBU_due to High water producer. Well visited (11/10/2023). Dial plate vonk choke N/A. Gear Box manual wing N/A. UMV and  SSV wing passing. Manual Wing Valve stuck open.,2875,0,,0
TN-C125,GTSC,Critical,25,,,Intrabeta,NO,1 week,,Not yet survey,0,19-Aug-14,Cameron Fixed,YES, , ,SI,Sand_waiting for next program. Last visit on 12/10/2023. PG Ann-A broken and PG Ann-A N/A.,2545,0,,0
TN-C13,GTSC,Critical,99,,,Shallow,SCON,1 week,,Not yet survey,0,28-Jul-10,Cameron Plug & Cage CC40,YES, , ,SI,Sand_due to sand indication. Last visit on 07/11/2023.  SSV wing quick exhaust not available F/L Rec N/A. Ann#A & Ann#C PG N/A. Quick exhaust was remove to TN-C27.,1490,0,,0
TN-C25,GTSC,Critical,6,,,SU1,SCON,1 week,,Not yet survey,0,20-Dec-11,Vonk DV,YES, , ,SI,SIBU_due to no flow. Last visit on 02/01/2023. instrumental package ESDV incoming not complete.,1695,0,,0
TN-C5,GTSC,Critical,92,,,Shallow,M.Screen,1 week,,Not yet survey,0,,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visit on 16/05/2023. F/L Rec Broken. 8"" B/V flowline stuck at 85% closing. NRV flowline passing. Ann#A PG N/A. Downstream Horizontal ball valve blinded. found leak at vent hole Actuator SSV wing. Depressurize flowline up to GTS d",1160,0,,0
TN-C52,GTSC,Critical,0,,,Shallow,SCON,1 week,,Not yet survey,0,28-Sep-10,44550,YES, ,YES,SI,DHSV_due to DHSV stuck open after DHSV and Xmastree leak test & well plugged. Last visit on 05/07/2020.,960,0,,0
TN-F1,GTSF,Critical,0,,,Intrabeta,Screen Patch,1 week,,Not yet survey,0,9-Jan-10,Vonk,YES, ,YES,SI,"Sand_due to sandy after sand survey. Well visited (12/01/2022). F/L Valve Passing 1 bars/10 mins. LMV hard to operate, Found gas release from DHSV control line. UMV pump N/A.",2534,0,,0
TN-F2,GTSF,Critical,60.6,,,Intrabeta,Screen Patch,1 week,,Not yet survey,0,8-Feb-13,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Well visited (23/09/2023). Autochoke cannot be regulated, only fully open/close. Tubing for supply ABB not completed. UMV pump low performance. SSV quick exhaust N/A.",2345,0,,0
TN-G2,GTSG,Critical,0,,,Shallow,SCON,1 week,,Not yet survey,0,11-Jun-12,FMC,YES, , ,SI,Plugged well. Last visited on 29/01/2022 Ann#A PG broken. PJC/CMM Performed resetting PSHH flowline become 42 BarG. Leaking at d/s MWV flange.,1524,0,,0
TN-Gx51,GTSGx,Critical,11,,,Shallow,Hanging Screen,1 week,,Not yet survey,0,9-Mar-14,Vonk,YES, , ,SI,"SAS_set sand screen, waiting for set DHSV. Fully shut-in well. Last visited on 04/02/2023. SSV wing cannot open due to SOV problem. Remove DBB,DBC and Thermowell at Xmastree and install blind. PIT 10C14 of TN-Gx51 swap with PIT 10Y14 of TN-Gx111 due to Er",1152,0,,0
TN-S22,GTSS,Critical,137,,,SU1,NO,1 week,,Not yet survey,,10-Sep-13,Cameron Fixed,YES, , ,SI,"SIBU_due to no flow. Last visited on 05/10/2023. Ball valve horizontal 8"" F/L passing.  1"" IGS line plugged don't operate WHCP panel. ESDV Transit at GTS Indication broken.",2515,0,,0.5
TN-S46,GTSS,Critical,150,,,SU1,NO,1 week,,Not yet survey,,1-Aug-12,44550,YES, , ,SI,SIBU_due to no flow. Last visited on 10/02/2023. Vonk choke was removed and blind was installed (F/L disconnect).,2640,0,,0.1
TN-S70,GTSS,Critical,21,,,Shallow,SCON,1 week,,Not yet survey,,4-Oct-10,Vonk DV,YES,YES,NO,SI,Sand_sand above perforation and no flow. Last visited on 25/08/2023. SDV incoming @ GTS close. DHSV Pump Low Performence,1128,0,,0
TN-S71,GTSS,Critical,60,,,Shallow,SCON,1 week,,Not yet survey,,12-Jul-11,Vonk DV,YES, , ,SI,"SIBU_due to no flow. Last visited on 03/08/2022. DBB,DBC,thermowell WH, WH spoll & ESDV outgoing removed and installed Blind.",1072,0,,0.2
TN-T82,GTST,Critical,76.5,,,Shallow,SCON,1 week,,Not yet survey,,26-Sep-15,Vonk,YES,,,SI,,1015,0,,
TN-A113,GTSA,Critical,20,6-Feb-19,Sand Free,Intrabeta,Propant + Screen,1 week,0,13-Feb-19,0,26-Sep-12,Cameron Plug & Cage CC40,YES, , ,SI,Sand_due to sand produce. Well visited (10/04/2023). MWV stuck closed.,2076,0,,4.2
TN-A142,GTSA,Critical,140,28-Oct-20,Sand Free,SU2,NO,1 week,0,4-Nov-20,0,22-Sep-14,Vonk Non DV,YES,,,SI,SIBU_due to no flow. Well visited (15/03/2023). Flow to TMP-1. Internal choke remove for Tn-Fx21.,2833,0,,0
TN-A160,GTSA,Critical,144.6,22-Nov-23,Sand Free,Intrabeta,GP,1 week,0,29-Nov-23,0,,Vonk Non DV,YES,,,SI,Well visited (26/11/2023). Nuflo ok. Flow to TMP-1.,2247,0,,6
TN-A165,GTSA,Critical,0,6-Dec-23,Sand Free,Shallow,HESS Screen,1 week,0,13-Dec-23,,,Masterflo P3,YES,,,SI,SIBU_due to no flow. Well visited (10/12/2023).,1396,0,,
TN-A173,GTSA,Critical,160,11-Jan-20,Sand Free,Shallow,PO Screen,1 week,0,18-Jan-20,,15-Aug-19,Masterflo P3,YES,,,SI,"SIBU_due to no flow. Well visited (26/09/2023). Chemical injection package without SkoFlo. WH Choke indicator removed to TN-A418. Pump DHSV N/A, Pump UMV broken.",942,0,,
TN-A174,GTSA,Critical,10,3-Sep-21,Sand Free,Shallow,SCON,1 week,0,10-Sep-21,,17-Aug-19,Masterflo P3,YES,,,SI,Sand_Sand history if front of perforation and no flow. Well visited (26/09/2023). Chemical injection package without SkoFlo. Nuflo campaign : Nuflo Available. Replaced body choke from masterflo to cameroon fixed completed. Leak test not yet because Pump D,1285,0,,
TN-A185,GTSA,Critical,40,18-Aug-23,Sand Free,Shallow,SCON,1 week,0,25-Aug-23,,,Masterflo P3,YES,,,SI,SIBU_due to no flow. Well visited (29/09/2023). Barton Chart Missing.,1319,0,,
TN-A23,GTSA,Critical,16,29-Apr-22,Sand Free,Shallow,Hanging Screen,1 week,0,6-May-22,0,21-Dec-13,Vonk,YES, , ,SI,SIBU_due to no flow. Well visited (27/07/2023). Nuflo Error. A/choke positioner repaired in MNT/IS workshop. Found threeway pilot PSLL flowline keep venting (already notif to MNT/IS). Flow to TMP-1.,992,0,,0
TN-A416,GTSA,Critical,50,23-Nov-23,Sand Free,Intrabeta,NO,1 week,0,30-Nov-23,0,22-Jun-15,Masterflo P3,YES,,,SI,SIBU_due to no flow. Well visited (12/12/2023). NuFlo OK. Flow to TMP-1.,2383,0,,0
TN-A56,GTSA,Critical,105.4,4-Aug-19,Sand Free,Intrabeta,NO,1 week,0,11-Aug-19,0,19-Nov-10,Vonk Non DV,YES, ,YES,SI,"Offload_SI for rig down after Offload. Kept SI waiting for unlocking emulsion well program (Qgas = 0.517 MMscfd). TBRG choke at 14/64"".  Well visited (19/08/2023). NO INTERNAL vonk choke. SSV wing and Manual wing valve Passing. Flow to TMP-1. Leak test no",2000,0,,6
TN-A93,GTSA,Critical,0,5-Mar-19,Sand Free,Shallow,OH-SAS,1 week,0,12-Mar-19,0,22-May-12,Vonk DV,YES, , ,SI,SIBU_due to no flow. Well visited (15/10/2023). Flow to TMP-1.,1345,0,,1.2
TN-AA185B.T1,GTSAA,Critical,67,21-Jul-20,Sand Free,Shallow,CH-Ceramic Screen,1 week,0,28-Jul-20,0,,Vonk,YES,,,SI,"SIBU_due to no flow. Visited 26/09/2023. PG Ann C is not access, Instrumentation of CI package is not complete. Panel active for ESDV transit from AA220. Nuflo no display. Internal vonk 8mm NDV removed for TN-S74 (No internal Vonk installed). Barton chart",1184,0,,0.9
TN-AA205,GTSAA,Critical,0,2-Aug-18,,Shallow,SCON,1 week,0,9-Aug-18,,2-Nov-16,Vonk,YES,,,SI,Sand_due to sand produce. Fully shut in well. Visited 06/10/2023. No internal vonk choke installed. Kenco was remove to TN-AA74.,802,0,,
TN-AA208,GTSAA,Critical,11.5,4-Dec-23,Sand Free,Shallow,SCON SandTrap AB,1 week,0,11-Dec-23,,18-Sep-20,Masterflo P3,YES,,,SI,SIBU_due to no flow.Visited 07/12/2023. Nuflo OK. Cant access when low tide due to ladder broken.,1139,0,,
TN-AA209,GTSAA,Critical,74,7-Apr-20,Sand Free,Shallow,SCON,1 week,0,14-Apr-20,0,15-Feb-19,Masterflo P3,YES,,,SI,Sand_due to sand indication. Visited 10/12/2023. CANNOT POP (Corrosion issue at riser IGS line). IGS depressurized. Well kept S/I waiting for WPT recommendation.,972,0,,
TN-AA210,GTSAA,Critical,45,29-Apr-20,Sand Free,Shallow,SCON,1 week,0,6-May-20,0,15-Feb-19,Masterflo P3,YES,,,SI,Sand_due to sand producer. CANNOT POP (Corrosion issue at riser IGS line). IGS depressurized.  Visited 10/12/2023.,719,0,,
TN-AA219,GTSAA,Critical,56,22-Sep-21,Sand Free,Shallow,SCON SC3,1 week,0,29-Sep-21,,2-Mar-20,Masterflo P3,YES,,,SI,Sand_Sand 10 m above TOS (SC3 well). Keep S/I as per WPT request. Visited 02/05/2023. NuFlo Ok. SDV transit at TN-AA184/AA185 push open (overide) due to missing instrumentation.,879,0,,
TN-AA220,GTSAA,Critical,13,7-Aug-23,Sand Free,Shallow,HESS Screen,1 week,0,14-Aug-23,,2-Mar-20,Masterflo P3,YES,,,SI,"SIBU_No flow. Visited 08/08/2023. Nuflo OK. Tubing pressure to barton chart may partialy pluged, so when normalize it from zero check the pen will SLOWLY rise to actual W/H flowing pressure. PRO/SVC performed repair WH Choke (Masterflo) due to stuck open,",1056,0,,
TN-AA223,GTSS,Critical,13,23-Nov-23,Sand Free,Shallow,SCON ,1 week,0,30-Nov-23,,9-Sep-20,Masterflo P3,,,,SI,SIBU_due to no flow. Visited 03/12/2023. Nuflo OK. Kenco at CI drum broken. Barton chart was missing. Stranded Area (minimum tide 1m).,1156,0,,
TN-AA225,GTSS,Critical,81,7-Jan-23,Sand Free,Shallow,SCON ,1 week,0,14-Jan-23,,2-Mar-20,Masterflo P3,,,,SI,"Sand_due to sand, w/f SFR. Visited 11/12/2023. Nuflo OK.  Wellhead choke verification : Found nozle and flow collar major deffect (Sand 90cc). Sand probe verification : Found SP deffect (Already Replace with New SP GEN4). 'Found WH choke of TN-AA225 is st",1776,0,,
TN-AA227,GTSS,Critical,63,30-Nov-22,Sand Free,Shallow,SCON ,1 week,0,7-Dec-22,,9-Sep-20,Masterflo P3,,,,SI,"SIBU_due to no flow. Visited 11/12/2023. NuFlo Ok. ( STRANDED AREA ). Barton chart was missing. Found wasp hive at Xmastree instrument flange of TN-AA223, CP of TN-AA227 and under deck platform.",1190,0,,
TN-AA228,GTSS,Critical,101,24-Feb-23,Sand Free,Shallow,SCON ,1 week,0,3-Mar-23,,2-Mar-20,Masterflo P3,,,,SI,"SIBU_due to no flow. Visited 11/12/2023. Nuflo Not accurate. ( STRANDED AREA ). Hyd.oil low level, need to refill. The internal part of masterflo has been exchanged with TN-AA226.",1729,0,,
TN-AA235,GTSAA,Critical,76,26-Dec-22,Sandy,Shallow,SCON,1 week,0,2-Jan-23,,25-Jan-21,Masterflo P3,YES,,,SI,"Data Acq_PBMS. Visited 05/07/2023. Nuflo OK. Wellhead choke verification : Found sand 10cc, Body choke good, Nozzle major deffect, flow collar minor deffect,well kept shut-in waiting for sand probe verification and SFR program.",1551,0,,
